Variable,tas
Experiment,rcp85
Zone,Q18
Code,CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
2010-06-01,21.4278102
2010-07-01,23.754195746509822
2010-08-01,24.741778948711186
2010-09-01,23.45931653333333
2010-10-01,19.97948832258065
2010-11-01,17.462790073010087
2010-12-01,13.383780354838708
2011-01-01,14.536725983870967
2011-02-01,14.86662280357143
2011-03-01,16.672583548387095
2011-04-01,16.787619869317247
2011-05-01,19.392061935483877
2011-06-01,20.833647612232117
2011-07-01,22.09350393548387
2011-08-01,23.519282765481297
2011-09-01,23.85857103333333
2011-10-01,20.494759158127515
2011-11-01,17.34355909166667
2011-12-01,15.453177972891227
2012-01-01,12.128567848946334
2012-02-01,14.47563080357143
2012-03-01,17.384314213841364
2012-04-01,16.609734816666666
2012-05-01,19.527152609002567
2012-06-01,21.253460299999997
2012-07-01,23.05488793548387
2012-08-01,22.79102116129032
2012-09-01,23.11828453333333
2012-10-01,20.364288655413855
2012-11-01,17.42366706666667
2012-12-01,15.196570008064517
2013-01-01,12.291622324824443
2013-02-01,13.61024248214286
2013-03-01,16.82963048387097
2013-04-01,17.58820043333333
2013-05-01,20.553010903225807
2013-06-01,21.0500832
2013-07-01,22.8850995483871
2013-08-01,22.281074774193552
2013-09-01,21.44192263333333
2013-10-01,18.545438580645165
2013-11-01,15.46530611666667
2013-12-01,14.139562354838707
2014-01-01,13.975637408635224
2014-02-01,13.47576350400497
2014-03-01,16.400543192702646
2014-04-01,16.473116833333336
2014-05-01,18.66762803114083
2014-06-01,18.16696863333333
2014-07-01,22.131513915961346
2014-08-01,23.8016944516129
2014-09-01,21.73489653333333
2014-10-01,22.20143320180237
2014-11-01,16.925273730431886
2014-12-01,16.20471341935484
2015-01-01,15.281276983870967
2015-02-01,14.24133680357143
2015-03-01,15.133494467741935
2015-04-01,16.723004816666666
2015-05-01,19.45239287096774
2015-06-01,21.343597578581814
2015-07-01,23.98100693548387
2015-08-01,24.328484231070192
2015-09-01,22.39868703333333
2015-10-01,22.25078827419355
2015-11-01,17.82801094846115
2015-12-01,15.827002008064518
2016-01-01,12.978993138406057
2016-02-01,14.72040880357143
2016-03-01,17.388374633304913
2016-04-01,15.566107433333329
2016-05-01,20.409001483533054
2016-06-01,21.585949299999996
2016-07-01,21.87381293548387
2016-08-01,22.74670997847693
2016-09-01,22.38052263333333
2016-10-01,21.37299332258065
2016-11-01,17.90537706666667
2016-12-01,15.587305354838708
2017-01-01,12.980313204891845
2017-02-01,14.689831089285716
2017-03-01,19.80334948387097
2017-04-01,17.066795833333337
2017-05-01,19.770265155008428
2017-06-01,21.874173282847647
2017-07-01,22.7756045483871
2017-08-01,23.7277224516129
2017-09-01,21.645772191334046
2017-10-01,19.677754580645164
2017-11-01,16.2797129237574
2017-12-01,16.762511750127793
2018-01-01,15.426709983870968
2018-02-01,14.182769242350874
2018-03-01,15.011127467741936
2018-04-01,16.209921816666668
2018-05-01,22.41069390322581
2018-06-01,21.90718807909514
2018-07-01,22.00473293548387
2018-08-01,24.131093389502478
2018-09-01,24.61998703333333
2018-10-01,22.13214327419355
2018-11-01,17.80692409166667
2018-12-01,16.731989419354836
2019-01-01,12.505053506451608
2019-02-01,15.16299480357143
2019-03-01,17.281100978308668
2019-04-01,17.02093243333333
2019-05-01,19.95341482869806
2019-06-01,21.130145565948354
2019-07-01,22.212325935483868
2019-08-01,23.438493774193553
2019-09-01,22.69777753333333
2019-10-01,21.2504599189496
2019-11-01,16.39784511666667
2019-12-01,14.671443354838708
2020-01-01,14.64539635821951
2020-02-01,15.915229089285717
2020-03-01,17.40174848387097
2020-04-01,16.31268568199274
2020-05-01,18.30840487096774
2020-06-01,19.35961263333333
2020-07-01,22.7644395483871
2020-08-01,24.440635537742228
2020-09-01,23.805008633333333
2020-10-01,21.22766832258065
2020-11-01,18.06388706666667
2020-12-01,15.672953955691677
2021-01-01,13.218333177419352
2021-02-01,14.10209248214286
2021-03-01,17.947733568069168
2021-04-01,18.658239833333337
2021-05-01,17.408449163193293
2021-06-01,20.061970299999995
2021-07-01,25.27179793548387
2021-08-01,24.79249656920893
2021-09-01,24.391168033333333
2021-10-01,21.77090406752937
2021-11-01,17.71482709166667
2021-12-01,15.175094008064518
2022-01-01,11.841933506451609
2022-02-01,15.895506833142996
2022-03-01,17.277732548387096
2022-04-01,16.827674433333332
2022-05-01,17.68587821500293
2022-06-01,20.622920612294028
2022-07-01,22.639432935483867
2022-08-01,24.57360866521534
2022-09-01,22.804026533333328
2022-10-01,20.189578580645165
2022-11-01,16.77127511666667
2022-12-01,14.387490354838707
2023-01-01,14.265832171889688
2023-02-01,15.19964080357143
2023-03-01,16.687455880625937
2023-04-01,18.643681833333336
2023-05-01,19.72663270169002
2023-06-01,20.956316907974504
2023-07-01,24.628156628453883
2023-08-01,25.0103544516129
2023-09-01,23.63547463333333
2023-10-01,21.97254083990955
2023-11-01,18.229184282551195
2023-12-01,15.545870300736079
2024-01-01,11.899816249979965
2024-02-01,15.33715630357143
2024-03-01,16.088746467741935
2024-04-01,16.622063816666667
2024-05-01,18.291001870967737
2024-06-01,21.385895299999994
2024-07-01,23.943495451452844
2024-08-01,24.52691416129032
2024-09-01,23.84111103333333
2024-10-01,22.90347727419355
2024-11-01,17.53757109166667
2024-12-01,14.473984077102806
2025-01-01,14.982375743409683
2025-02-01,14.51471548214286
2025-03-01,17.789323984890316
